Date,Shift 1,Shift 2,Shift 3
2022-04-01 0:00:00,4164,4235,4280
2022-04-02 0:00:00,0,4020,4547
2022-04-03 0:00:00,4082,4360,0
2022-04-04 0:00:00,4101,4129,4318
2022-04-05 0:00:00,4206,3987,4578
2022-04-06 0:00:00,4240,4120,4040
2022-04-07 0:00:00,4148,4111,4296
2022-04-08 0:00:00,4110,4155,4618
2022-04-09 0:00:00,0,0,0
2022-04-10 0:00:00,3879,4315,3959
2022-04-11 0:00:00,4194,4026,4534
2022-04-12 0:00:00,4040,4037,4169
2022-04-13 0:00:00,4258,4154,3981
2022-04-14 0:00:00,4128,0,4169
