Gear Assembly,GA Category,Month,Quarter,Fiscal Year,Quantity Produced,Sales Quantity,Price
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2019-20,6393,5655,561
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2019-20,5840,5071,540
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2019-20,6555,6066,432
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2019-20,5568,5056,452
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2019-20,6555,6268,544
Gear Assembly 1 (BS4),BS4 Only,September,Q2,2019-20,5167,4986,453
Gear Assembly 1 (BS4),BS4 Only,October,Q3,2019-20,5675,5271,408
Gear Assembly 1 (BS4),BS4 Only,November,Q3,2019-20,5819,5675,494
Gear Assembly 1 (BS4),BS4 Only,December,Q3,2019-20,6043,5539,385
Gear Assembly 1 (BS4),BS4 Only,January,Q4,2019-20,6512,5926,388
Gear Assembly 1 (BS4),BS4 Only,February,Q4,2019-20,6747,5629,494
Gear Assembly 1 (BS4),BS4 Only,March,Q4,2019-20,6749,6165,371
Gear Assembly 1 (BS4),BS4 Only,April,Q1,2020-21,5326,5045,551
Gear Assembly 1 (BS4),BS4 Only,May,Q1,2020-21,6030,5212,456
Gear Assembly 1 (BS4),BS4 Only,June,Q1,2020-21,5439,4904,459
Gear Assembly 1 (BS4),BS4 Only,July,Q2,2020-21,6153,5599,525
Gear Assembly 1 (BS4),BS4 Only,August,Q2,2020-21,6626,5966,364
Gear Assembly 1 (BS4),BS4 Only,September,Q2,2020-21,6118,5849,503
Gear Assembly 1 (BS4),BS4 Only,October,Q3,2020-21,6425,5970,566
Gear Assembly 1 (BS4),BS4 Only,November,Q3,2020-21,5220,4851,360
Gear Assembly 1 (BS4),BS4 Only,December,Q3,2020-21,5578,5440,435
Gear Assembly 1 (BS4),BS4 Only,January,Q4,2020-21,5678,5373,393
Gear Assembly 1 (BS4),BS4 Only,February,Q4,2020-21,5743,5601,551
Gear Assembly 1 (BS4),BS4 Only,March,Q4,2020-21,5892,5217,411
